21.527830 | k-point: 001 | bands: 05 -> 11
21.527830 | k-point: 001 | bands: 05 -> 12
21.527830 | k-point: 001 | bands: 06 -> 11
21.527830 | k-point: 001 | bands: 06 -> 12
22.036840 | k-point: 001 | bands: 15 -> 23
22.036840 | k-point: 001 | bands: 15 -> 24
22.816220 | k-point: 001 | bands: 05 -> 13
22.816220 | k-point: 001 | bands: 06 -> 13
23.010600 | k-point: 001 | bands: 05 -> 14
23.010600 | k-point: 001 | bands: 06 -> 14
23.134980 | k-point: 001 | bands: 15 -> 25
23.180550 | k-point: 001 | bands: 04 -> 11
23.180550 | k-point: 001 | bands: 04 -> 12
23.280580 | k-point: 001 | bands: 02 -> 11
23.280580 | k-point: 001 | bands: 02 -> 12
23.280580 | k-point: 001 | bands: 03 -> 11
23.280580 | k-point: 001 | bands: 03 -> 12
23.385030 | k-point: 001 | bands: 01 -> 11
23.385030 | k-point: 001 | bands: 01 -> 12
23.646960 | k-point: 001 | bands: 10 -> 23
23.646960 | k-point: 001 | bands: 10 -> 24
24.409170 | k-point: 001 | bands: 08 -> 23
24.409170 | k-point: 001 | bands: 08 -> 24
24.409170 | k-point: 001 | bands: 09 -> 23
24.409170 | k-point: 001 | bands: 09 -> 24
24.468940 | k-point: 001 | bands: 04 -> 13
24.568970 | k-point: 001 | bands: 02 -> 13
24.568970 | k-point: 001 | bands: 03 -> 13
24.663320 | k-point: 001 | bands: 04 -> 14
24.673420 | k-point: 001 | bands: 01 -> 13
24.745100 | k-point: 001 | bands: 10 -> 25
24.763350 | k-point: 001 | bands: 02 -> 14
24.763350 | k-point: 001 | bands: 03 -> 14
24.867800 | k-point: 001 | bands: 01 -> 14
25.041490 | k-point: 001 | bands: 07 -> 23
25.041490 | k-point: 001 | bands: 07 -> 24
25.507310 | k-point: 001 | bands: 08 -> 25
25.507310 | k-point: 001 | bands: 09 -> 25
25.972770 | k-point: 001 | bands: 05 -> 16
25.972770 | k-point: 001 | bands: 06 -> 16
26.139630 | k-point: 001 | bands: 07 -> 25
26.623260 | k-point: 001 | bands: 05 -> 17
26.623260 | k-point: 001 | bands: 05 -> 18
26.623260 | k-point: 001 | bands: 06 -> 17
26.623260 | k-point: 001 | bands: 06 -> 18
27.625490 | k-point: 001 | bands: 04 -> 16
27.725520 | k-point: 001 | bands: 02 -> 16
27.725520 | k-point: 001 | bands: 03 -> 16
27.829970 | k-point: 001 | bands: 01 -> 16
28.275980 | k-point: 001 | bands: 04 -> 17
28.275980 | k-point: 001 | bands: 04 -> 18
28.376010 | k-point: 001 | bands: 02 -> 17
28.376010 | k-point: 001 | bands: 02 -> 18
28.376010 | k-point: 001 | bands: 03 -> 17
28.376010 | k-point: 001 | bands: 03 -> 18
28.480460 | k-point: 001 | bands: 01 -> 17
28.480460 | k-point: 001 | bands: 01 -> 18
28.766940 | k-point: 001 | bands: 05 -> 19
28.766940 | k-point: 001 | bands: 06 -> 19
29.996380 | k-point: 001 | bands: 05 -> 20
29.996380 | k-point: 001 | bands: 06 -> 20
30.419660 | k-point: 001 | bands: 04 -> 19
30.519690 | k-point: 001 | bands: 02 -> 19
30.519690 | k-point: 001 | bands: 03 -> 19
30.599040 | k-point: 001 | bands: 05 -> 21
30.599040 | k-point: 001 | bands: 05 -> 22
30.599040 | k-point: 001 | bands: 06 -> 21
30.599040 | k-point: 001 | bands: 06 -> 22
30.624140 | k-point: 001 | bands: 01 -> 19
31.649100 | k-point: 001 | bands: 04 -> 20
31.749130 | k-point: 001 | bands: 02 -> 20
31.749130 | k-point: 001 | bands: 03 -> 20
31.853580 | k-point: 001 | bands: 01 -> 20
32.251760 | k-point: 001 | bands: 04 -> 21
32.251760 | k-point: 001 | bands: 04 -> 22
32.351790 | k-point: 001 | bands: 02 -> 21
32.351790 | k-point: 001 | bands: 02 -> 22
32.351790 | k-point: 001 | bands: 03 -> 21
32.351790 | k-point: 001 | bands: 03 -> 22
32.456240 | k-point: 001 | bands: 01 -> 21
32.456240 | k-point: 001 | bands: 01 -> 22
35.047440 | k-point: 001 | bands: 05 -> 23
35.047440 | k-point: 001 | bands: 05 -> 24
35.047440 | k-point: 001 | bands: 06 -> 23
35.047440 | k-point: 001 | bands: 06 -> 24
36.145580 | k-point: 001 | bands: 05 -> 25
36.145580 | k-point: 001 | bands: 06 -> 25
36.700160 | k-point: 001 | bands: 04 -> 23
36.700160 | k-point: 001 | bands: 04 -> 24
36.800190 | k-point: 001 | bands: 02 -> 23
36.800190 | k-point: 001 | bands: 02 -> 24
36.800190 | k-point: 001 | bands: 03 -> 23
36.800190 | k-point: 001 | bands: 03 -> 24
36.904640 | k-point: 001 | bands: 01 -> 23
36.904640 | k-point: 001 | bands: 01 -> 24
37.798300 | k-point: 001 | bands: 04 -> 25
37.898330 | k-point: 001 | bands: 02 -> 25
37.898330 | k-point: 001 | bands: 03 -> 25
38.002780 | k-point: 001 | bands: 01 -> 25
